Second,PackVolt,Current
2025-04-30 09:35:39,5225.0,0.0
2025-04-30 09:35:40,5225.2,0.0
2025-04-30 09:35:41,5221.8,-102.6
2025-04-30 09:35:42,5200.4,-206.4
2025-04-30 09:35:43,5195.6,-236.4
2025-04-30 09:35:44,5189.6,-291.6
2025-04-30 09:35:45,5179.2,-356.8
2025-04-30 09:35:46,5172.8,-400.6
2025-04-30 09:35:47,5167.0,-436.0
2025-04-30 09:35:48,5166.8,-432.6
2025-04-30 09:35:49,5163.0,-453.2
2025-04-30 09:35:50,5162.2,-436.0
2025-04-30 09:35:51,5168.0,-408.0
2025-04-30 09:35:52,5165.4,-427.6
2025-04-30 09:35:53,5153.8,-509.6
2025-04-30 09:35:54,5155.4,-494.8
2025-04-30 09:35:55,5151.8,-515.2
2025-04-30 09:35:56,5149.4,-528.4
2025-04-30 09:35:57,5155.8,-467.2
2025-04-30 09:35:58,5160.6,-434.8
2025-04-30 09:35:59,5158.2,-461.2
2025-04-30 09:36:00,5151.6,-507.8
2025-04-30 09:36:01,5151.8,-496.0
2025-04-30 09:36:02,5158.6,-442.2
2025-04-30 09:36:03,5157.0,-451.6
2025-04-30 09:36:04,5159.0,-437.0
2025-04-30 09:36:05,5155.0,-472.2
2025-04-30 09:36:06,5156.6,-443.4
2025-04-30 09:36:07,5159.8,-424.4
2025-04-30 09:36:08,5159.4,-430.6
2025-04-30 09:36:09,5136.0,-613.2
2025-04-30 09:36:10,5127.2,-663.0
2025-04-30 09:36:11,5135.2,-596.4
2025-04-30 09:36:12,5140.0,-552.0
2025-04-30 09:36:13,5130.4,-625.8
2025-04-30 09:36:14,5121.2,-685.2
2025-04-30 09:36:15,5128.0,-608.2
2025-04-30 09:36:16,5147.0,-479.2
2025-04-30 09:36:17,5149.4,-497.6
2025-04-30 09:36:18,5145.6,-493.2
2025-04-30 09:36:19,5146.0,-490.0
2025-04-30 09:36:20,5146.0,-489.2
2025-04-30 09:36:21,5148.6,-467.4
2025-04-30 09:36:22,5156.6,-410.2
2025-04-30 09:36:23,5155.0,-433.0
2025-04-30 09:36:24,5150.8,-456.8
2025-04-30 09:36:25,5146.0,-489.0
2025-04-30 09:36:26,5144.6,-494.8
2025-04-30 09:36:27,5146.6,-475.2
2025-04-30 09:36:28,5152.2,-435.2
2025-04-30 09:36:29,5155.0,-413.6
2025-04-30 09:36:30,5153.0,-421.6
2025-04-30 09:36:31,5157.0,-401.4
2025-04-30 09:36:32,5156.6,-398.6
2025-04-30 09:36:33,5157.0,-413.4
2025-04-30 09:36:34,5150.8,-449.2
2025-04-30 09:36:35,5153.2,-430.0
2025-04-30 09:36:36,5156.8,-398.8
2025-04-30 09:36:37,5151.4,-437.2
2025-04-30 09:36:38,5152.0,-435.2
2025-04-30 09:36:39,5153.6,-420.6
2025-04-30 09:36:40,5154.0,-420.4
2025-04-30 09:36:41,5153.4,-423.2
2025-04-30 09:36:42,5155.4,-407.6
2025-04-30 09:36:43,5161.0,-361.4
2025-04-30 09:36:44,5161.2,-360.6
