Second,PackVolt,Current
2025-04-30 09:26:15,5297.2,0.0
2025-04-30 09:26:16,5282.8,-131.2
2025-04-30 09:26:17,5268.4,-254.6
2025-04-30 09:26:18,5263.6,-257.0
2025-04-30 09:26:19,5262.8,-257.0
2025-04-30 09:26:20,5262.0,-257.0
2025-04-30 09:26:21,5262.0,-257.0
2025-04-30 09:26:22,5262.0,-257.0
2025-04-30 09:26:23,5261.4,-257.6
2025-04-30 09:26:24,5261.0,-257.0
2025-04-30 09:26:25,5261.0,-257.0
2025-04-30 09:26:26,5261.0,-257.0
2025-04-30 09:26:27,5261.0,-257.0
2025-04-30 09:26:28,5260.2,-257.0
2025-04-30 09:26:29,5260.0,-257.0
2025-04-30 09:26:30,5260.0,-258.0
2025-04-30 09:26:31,5259.8,-259.0
2025-04-30 09:26:32,5258.4,-263.0
2025-04-30 09:26:33,5258.0,-265.0
2025-04-30 09:26:34,5261.0,-212.0
2025-04-30 09:26:35,5285.0,0.0
2025-04-30 09:26:36,5294.4,0.0
2025-04-30 09:26:37,5295.8,0.0
2025-04-30 09:26:38,5272.6,-183.0
2025-04-30 09:26:39,5254.0,-306.0
2025-04-30 09:26:40,5253.2,-306.0
2025-04-30 09:26:41,5253.0,-305.4
2025-04-30 09:26:42,5253.0,-301.0
2025-04-30 09:26:43,5252.2,-301.0
2025-04-30 09:26:44,5252.0,-301.0
2025-04-30 09:26:45,5252.0,-299.0
2025-04-30 09:26:46,5251.2,-301.4
2025-04-30 09:26:47,5251.0,-302.0
2025-04-30 09:26:48,5251.0,-302.0
2025-04-30 09:26:49,5250.2,-302.0
2025-04-30 09:26:50,5250.0,-302.0
2025-04-30 09:26:51,5250.0,-302.0
2025-04-30 09:26:52,5250.0,-300.2
2025-04-30 09:26:53,5250.0,-299.0
2025-04-30 09:26:54,5249.0,-299.0
2025-04-30 09:26:55,5230.0,-442.8
2025-04-30 09:26:56,5223.0,-487.0
2025-04-30 09:26:57,5222.0,-487.0
2025-04-30 09:26:58,5221.0,-487.0
2025-04-30 09:26:59,5220.0,-487.6
2025-04-30 09:27:00,5261.0,-95.4
2025-04-30 09:27:01,5286.0,0.0
2025-04-30 09:27:02,5287.5,0.0
