Second,PackVolt,Current
2025-04-30 09:27:02,5288.0,0.0
2025-04-30 09:27:03,5289.4,0.0
2025-04-30 09:27:04,5290.0,0.0
2025-04-30 09:27:05,5290.6,0.0
2025-04-30 09:27:06,5280.8,-73.6
2025-04-30 09:27:07,5264.4,-204.2
2025-04-30 09:27:08,5258.2,-253.2
2025-04-30 09:27:09,5250.2,-291.6
2025-04-30 09:27:10,5247.6,-310.0
2025-04-30 09:27:11,5246.8,-311.0
2025-04-30 09:27:12,5244.0,-327.0
2025-04-30 09:27:13,5232.6,-405.4
2025-04-30 09:27:14,5230.2,-396.8
2025-04-30 09:27:15,5239.4,-346.6
2025-04-30 09:27:16,5238.2,-352.2
2025-04-30 09:27:17,5231.0,-401.6
2025-04-30 09:27:18,5230.6,-402.0
2025-04-30 09:27:19,5227.8,-417.8
2025-04-30 09:27:20,5219.0,-481.6
2025-04-30 09:27:21,5227.2,-417.4
2025-04-30 09:27:22,5223.6,-438.6
2025-04-30 09:27:23,5224.8,-402.8
2025-04-30 09:27:24,5232.6,-358.6
2025-04-30 09:27:25,5235.8,-337.8
2025-04-30 09:27:26,5233.0,-360.2
2025-04-30 09:27:27,5230.0,-379.0
2025-04-30 09:27:28,5222.4,-434.0
2025-04-30 09:27:29,5228.0,-390.0
2025-04-30 09:27:30,5225.2,-413.4
2025-04-30 09:27:31,5222.2,-435.0
2025-04-30 09:27:32,5231.0,-337.6
2025-04-30 09:27:33,5215.2,-476.2
2025-04-30 09:27:34,5213.2,-478.6
2025-04-30 09:27:35,5219.0,-433.6
2025-04-30 09:27:36,5214.8,-465.0
2025-04-30 09:27:37,5213.6,-470.6
2025-04-30 09:27:38,5210.8,-497.6
2025-04-30 09:27:39,5214.4,-431.0
2025-04-30 09:27:40,5230.0,-333.2
2025-04-30 09:27:41,5224.6,-400.8
2025-04-30 09:27:42,5221.2,-401.0
2025-04-30 09:27:43,5226.2,-365.2
2025-04-30 09:27:44,5229.0,-342.0
