Second,PackVolt,Current
2025-04-30 09:25:22,5305.67,0.0
2025-04-30 09:25:23,5307.6,0.0
2025-04-30 09:25:24,5308.6,0.0
2025-04-30 09:25:25,5309.0,0.0
2025-04-30 09:25:26,5306.6,-25.6
2025-04-30 09:25:27,5306.0,-32.0
2025-04-30 09:25:28,5307.0,-32.0
2025-04-30 09:25:29,5285.2,-205.0
2025-04-30 09:25:30,5276.6,-249.0
2025-04-30 09:25:31,5276.0,-245.0
2025-04-30 09:25:32,5275.2,-245.0
2025-04-30 09:25:33,5275.0,-245.0
2025-04-30 09:25:34,5274.0,-245.0
2025-04-30 09:25:35,5274.0,-244.2
2025-04-30 09:25:36,5274.0,-244.0
2025-04-30 09:25:37,5273.0,-244.0
2025-04-30 09:25:38,5273.0,-244.0
2025-04-30 09:25:39,5273.0,-242.8
2025-04-30 09:25:40,5273.0,-242.0
2025-04-30 09:25:41,5272.2,-245.2
2025-04-30 09:25:42,5271.4,-246.0
2025-04-30 09:25:43,5271.0,-246.0
2025-04-30 09:25:44,5271.0,-246.0
2025-04-30 09:25:45,5270.4,-247.8
2025-04-30 09:25:46,5269.6,-253.0
2025-04-30 09:25:47,5268.8,-257.0
2025-04-30 09:25:48,5284.2,-135.6
2025-04-30 09:25:49,5299.8,-31.2
2025-04-30 09:25:50,5304.2,0.0
2025-04-30 09:25:51,5297.8,-54.6
2025-04-30 09:25:52,5280.2,-179.2
2025-04-30 09:25:53,5263.0,-307.4
2025-04-30 09:25:54,5262.0,-306.0
2025-04-30 09:25:55,5261.0,-306.0
2025-04-30 09:25:56,5261.0,-302.8
2025-04-30 09:25:57,5261.0,-302.0
2025-04-30 09:25:58,5260.6,-303.2
2025-04-30 09:25:59,5260.0,-304.8
2025-04-30 09:26:00,5259.4,-304.0
2025-04-30 09:26:01,5259.0,-303.6
2025-04-30 09:26:02,5258.4,-304.0
2025-04-30 09:26:03,5258.0,-304.0
2025-04-30 09:26:04,5258.0,-304.0
2025-04-30 09:26:05,5257.2,-304.0
2025-04-30 09:26:06,5257.0,-304.0
2025-04-30 09:26:07,5257.0,-304.0
2025-04-30 09:26:08,5256.4,-304.0
2025-04-30 09:26:09,5256.4,-299.0
2025-04-30 09:26:10,5256.2,-299.0
2025-04-30 09:26:11,5256.0,-300.2
2025-04-30 09:26:12,5262.2,-180.6
2025-04-30 09:26:13,5291.6,0.0
2025-04-30 09:26:14,5297.6,0.0
