Second,PackVolt,Current
2025-04-30 09:45:06,5161.0,0.0
2025-04-30 09:45:07,5161.6,0.0
2025-04-30 09:45:08,5163.4,0.0
2025-04-30 09:45:09,5158.4,-50.2
2025-04-30 09:45:10,5134.2,-233.0
2025-04-30 09:45:11,5135.6,-225.8
2025-04-30 09:45:12,5128.2,-278.0
2025-04-30 09:45:13,5115.4,-375.2
2025-04-30 09:45:14,5112.6,-391.0
2025-04-30 09:45:15,5106.2,-436.6
2025-04-30 09:45:16,5116.6,-354.4
2025-04-30 09:45:17,5112.2,-382.6
2025-04-30 09:45:18,5119.0,-327.0
2025-04-30 09:45:19,5127.6,-264.8
2025-04-30 09:45:20,5113.6,-373.6
2025-04-30 09:45:21,5124.2,-291.2
2025-04-30 09:45:22,5119.8,-325.8
2025-04-30 09:45:23,5128.4,-260.2
2025-04-30 09:45:24,5115.2,-363.8
2025-04-30 09:45:25,5109.8,-397.8
2025-04-30 09:45:26,5122.4,-297.4
2025-04-30 09:45:27,5117.2,-345.8
2025-04-30 09:45:28,5115.0,-360.6
2025-04-30 09:45:29,5113.0,-370.0
2025-04-30 09:45:30,5117.0,-338.0
2025-04-30 09:45:31,5116.8,-340.8
2025-04-30 09:45:32,5113.0,-368.4
2025-04-30 09:45:33,5117.8,-329.8
2025-04-30 09:45:34,5126.2,-268.4
2025-04-30 09:45:35,5116.4,-360.4
2025-04-30 09:45:36,5113.8,-362.4
2025-04-30 09:45:37,5122.0,-294.2
2025-04-30 09:45:38,5125.0,-279.8
2025-04-30 09:45:39,5112.6,-369.6
2025-04-30 09:45:40,5115.8,-343.6
2025-04-30 09:45:41,5113.8,-351.4
2025-04-30 09:45:42,5112.2,-366.4
2025-04-30 09:45:43,5112.4,-367.0
2025-04-30 09:45:44,5115.4,-338.8
2025-04-30 09:45:45,5126.2,-255.8
2025-04-30 09:45:46,5131.6,-219.6
2025-04-30 09:45:47,5135.0,-201.0
2025-04-30 09:45:48,5118.4,-290.6
2025-04-30 09:45:49,5086.8,-559.0
2025-04-30 09:45:50,5096.2,-484.6
2025-04-30 09:45:51,5099.6,-451.2
2025-04-30 09:45:52,5104.8,-401.0
2025-04-30 09:45:53,5108.4,-381.0
2025-04-30 09:45:54,5104.4,-413.4
2025-04-30 09:45:55,5092.6,-497.4
2025-04-30 09:45:56,5093.6,-483.0
2025-04-30 09:45:57,5105.4,-398.8
2025-04-30 09:45:58,5116.6,-307.4
2025-04-30 09:45:59,5116.8,-312.4
2025-04-30 09:46:00,5113.2,-341.8
2025-04-30 09:46:01,5107.2,-379.0
2025-04-30 09:46:02,5111.8,-346.8
2025-04-30 09:46:03,5115.6,-316.0
2025-04-30 09:46:04,5114.6,-326.0
2025-04-30 09:46:05,5117.4,-307.8
2025-04-30 09:46:06,5102.0,-424.6
2025-04-30 09:46:07,5113.6,-339.2
2025-04-30 09:46:08,5109.6,-363.0
2025-04-30 09:46:09,5108.4,-368.4
2025-04-30 09:46:10,5106.0,-390.0
2025-04-30 09:46:11,5107.0,-382.0
2025-04-30 09:46:12,5112.8,-333.2
2025-04-30 09:46:13,5102.4,-409.8
2025-04-30 09:46:14,5104.2,-390.6
2025-04-30 09:46:15,5108.4,-359.2
2025-04-30 09:46:16,5109.0,-360.2
2025-04-30 09:46:17,5116.0,-304.6
2025-04-30 09:46:18,5111.8,-336.0
2025-04-30 09:46:19,5113.6,-322.4
2025-04-30 09:46:20,5100.6,-425.0
2025-04-30 09:46:21,5103.2,-398.8
2025-04-30 09:46:22,5109.4,-351.0
2025-04-30 09:46:23,5102.8,-418.6
2025-04-30 09:46:24,5105.6,-365.4
2025-04-30 09:46:25,5120.8,-250.8
2025-04-30 09:46:26,5108.4,-357.6
2025-04-30 09:46:27,5115.4,-299.6
2025-04-30 09:46:28,5124.0,-240.2
2025-04-30 09:46:29,5124.0,-242.0
2025-04-30 09:46:30,5120.4,-272.6
2025-04-30 09:46:31,5118.0,-290.6
2025-04-30 09:46:32,5116.2,-300.8
2025-04-30 09:46:33,5119.8,-272.6
2025-04-30 09:46:34,5125.4,-234.4
2025-04-30 09:46:35,5126.0,-232.0
2025-04-30 09:46:36,5126.6,-232.0
2025-04-30 09:46:37,5127.4,-226.8
2025-04-30 09:46:38,5129.0,-217.0
2025-04-30 09:46:39,5128.2,-222.2
2025-04-30 09:46:40,5120.4,-289.4
2025-04-30 09:46:41,5122.0,-274.2
2025-04-30 09:46:42,5130.2,-208.6
2025-04-30 09:46:43,5128.2,-225.0
2025-04-30 09:46:44,5124.6,-253.8
2025-04-30 09:46:45,5131.2,-205.8
2025-04-30 09:46:46,5132.0,-200.8
2025-04-30 09:46:47,5127.6,-234.4
2025-04-30 09:46:48,5123.2,-263.2
2025-04-30 09:46:49,5120.6,-279.8
2025-04-30 09:46:50,5128.4,-221.6
2025-04-30 09:46:51,5128.4,-226.4
2025-04-30 09:46:52,5122.0,-277.2
2025-04-30 09:46:53,5114.4,-333.6
2025-04-30 09:46:54,5123.6,-264.0
2025-04-30 09:46:55,5124.4,-258.4
2025-04-30 09:46:56,5118.4,-301.0
2025-04-30 09:46:57,5111.2,-358.0
2025-04-30 09:46:58,5117.0,-304.2
2025-04-30 09:46:59,5120.6,-278.8
2025-04-30 09:47:00,5120.0,-284.0
