Second,PackVolt,Current
2025-04-30 09:31:21,5254.67,0.0
2025-04-30 09:31:22,5255.0,0.0
2025-04-30 09:31:23,5255.6,0.0
2025-04-30 09:31:24,5246.2,-72.4
2025-04-30 09:31:25,5230.4,-199.0
2025-04-30 09:31:26,5225.4,-233.2
2025-04-30 09:31:27,5215.4,-319.6
2025-04-30 09:31:28,5211.4,-327.6
2025-04-30 09:31:29,5206.8,-359.0
2025-04-30 09:31:30,5193.8,-457.0
2025-04-30 09:31:31,5184.6,-514.4
2025-04-30 09:31:32,5179.0,-550.8
2025-04-30 09:31:33,5182.2,-520.6
2025-04-30 09:31:34,5189.6,-459.2
2025-04-30 09:31:35,5186.8,-471.6
2025-04-30 09:31:36,5188.2,-448.2
2025-04-30 09:31:37,5188.2,-458.6
2025-04-30 09:31:38,5183.4,-490.6
2025-04-30 09:31:39,5180.8,-506.6
2025-04-30 09:31:40,5181.8,-494.6
2025-04-30 09:31:41,5186.4,-455.6
2025-04-30 09:31:42,5188.4,-440.6
2025-04-30 09:31:43,5189.0,-437.0
2025-04-30 09:31:44,5190.2,-423.8
2025-04-30 09:31:45,5187.4,-443.0
2025-04-30 09:31:46,5182.0,-478.6
2025-04-30 09:31:47,5185.0,-456.0
2025-04-30 09:31:48,5182.2,-476.4
2025-04-30 09:31:49,5176.0,-519.4
2025-04-30 09:31:50,5184.8,-437.0
2025-04-30 09:31:51,5177.0,-507.6
2025-04-30 09:31:52,5162.2,-572.4
2025-04-30 09:31:53,5172.6,-528.0
2025-04-30 09:31:54,5168.6,-555.2
2025-04-30 09:31:55,5160.8,-611.6
2025-04-30 09:31:56,5159.0,-620.0
2025-04-30 09:31:57,5164.2,-572.8
2025-04-30 09:31:58,5176.6,-478.8
2025-04-30 09:31:59,5197.4,-342.2
2025-04-30 09:32:00,5186.6,-424.2
2025-04-30 09:32:01,5178.8,-461.2
2025-04-30 09:32:02,5181.8,-439.6
2025-04-30 09:32:03,5183.8,-423.8
2025-04-30 09:32:04,5184.0,-423.0
2025-04-30 09:32:05,5187.0,-403.4
2025-04-30 09:32:06,5177.4,-473.2
2025-04-30 09:32:07,5176.8,-468.6
2025-04-30 09:32:08,5176.0,-447.2
2025-04-30 09:32:09,5190.4,-352.8
2025-04-30 09:32:10,5193.4,-349.0
2025-04-30 09:32:11,5175.2,-488.2
2025-04-30 09:32:12,5181.4,-435.2
2025-04-30 09:32:13,5188.8,-383.4
2025-04-30 09:32:14,5179.6,-453.2
2025-04-30 09:32:15,5186.2,-405.6
2025-04-30 09:32:16,5183.8,-434.2
2025-04-30 09:32:17,5187.8,-368.6
2025-04-30 09:32:18,5195.0,-335.2
2025-04-30 09:32:19,5193.8,-349.2
2025-04-30 09:32:20,5185.6,-407.8
2025-04-30 09:32:21,5185.8,-403.4
2025-04-30 09:32:22,5183.6,-419.4
2025-04-30 09:32:23,5187.4,-369.4
2025-04-30 09:32:24,5194.0,-339.4
2025-04-30 09:32:25,5194.6,-335.8
2025-04-30 09:32:26,5195.0,-335.0
2025-04-30 09:32:27,5195.8,-331.8
2025-04-30 09:32:28,5193.6,-348.4
2025-04-30 09:32:29,5193.2,-351.4
2025-04-30 09:32:30,5190.8,-368.4
2025-04-30 09:32:31,5192.0,-356.6
2025-04-30 09:32:32,5195.6,-319.0
2025-04-30 09:32:33,5194.6,-358.8
2025-04-30 09:32:34,5187.6,-388.4
2025-04-30 09:32:35,5186.8,-391.8
2025-04-30 09:32:36,5183.2,-420.2
2025-04-30 09:32:37,5185.6,-397.6
2025-04-30 09:32:38,5188.0,-379.0
2025-04-30 09:32:39,5187.4,-389.2
2025-04-30 09:32:40,5186.8,-386.8
2025-04-30 09:32:41,5190.2,-365.2
2025-04-30 09:32:42,5189.4,-346.4
2025-04-30 09:32:43,5197.0,-310.8
2025-04-30 09:32:44,5193.4,-338.4
2025-04-30 09:32:45,5187.8,-383.8
2025-04-30 09:32:46,5187.0,-389.0
2025-04-30 09:32:47,5183.4,-413.4
2025-04-30 09:32:48,5180.4,-432.2
2025-04-30 09:32:49,5188.8,-377.8
2025-04-30 09:32:50,5182.6,-407.8
2025-04-30 09:32:51,5186.0,-384.2
2025-04-30 09:32:52,5185.2,-387.0
2025-04-30 09:32:53,5184.2,-399.6
2025-04-30 09:32:54,5180.4,-424.4
2025-04-30 09:32:55,5185.0,-383.2
2025-04-30 09:32:56,5193.6,-314.4
2025-04-30 09:32:57,5208.8,-212.6
2025-04-30 09:32:58,5200.6,-292.0
2025-04-30 09:32:59,5199.0,-295.8
2025-04-30 09:33:00,5197.6,-305.0
2025-04-30 09:33:01,5195.0,-325.0
2025-04-30 09:33:02,5194.0,-331.0
