No,DateTime,cargo,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
360,2025.03.02 16:50:02,8,ON,ON,52.836,-2.231,0,3.779,3.779,3.779,3.779,3.779,3.779,3.779,3.779,3.779,3.779,3.779,3.779,3.779,3.779,19,19,19,19,OFF,OFF,0,0
361,2025.03.02 16:50:03,8,ON,ON,52.74,-3.24,0,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,19,19,19,19,OFF,OFF,0,0
362,2025.03.02 16:50:04,8,ON,ON,52.751,-3.215,0,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,19,19,19,19,OFF,OFF,0,0
363,2025.03.02 16:50:05,8,ON,ON,52.93,-2.231,0,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,19,19,19,19,OFF,OFF,0,0
364,2025.03.02 16:50:06,8,ON,ON,52.748,-2.91,0,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,19,19,19,19,OFF,OFF,0,0
365,2025.03.02 16:50:07,8,ON,ON,52.756,-3.383,0,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,19,19,19,19,OFF,OFF,0,0
366,2025.03.02 16:50:08,8,ON,ON,52.796,-2.837,0,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,19,19,19,19,OFF,OFF,0,0
367,2025.03.02 16:50:09,8,ON,ON,52.704,-3.488,0,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,19,19,19,19,OFF,OFF,0,0
368,2025.03.02 16:50:10,8,ON,ON,52.736,-3.18,0,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,19,19,19,19,OFF,OFF,0,0
369,2025.03.02 16:50:11,8,ON,ON,52.715,-3.313,0,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,19,19,19,19,OFF,OFF,0,0
370,2025.03.02 16:50:12,8,ON,ON,52.824,-2.58,0,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,19,19,19,19,OFF,OFF,0,0
371,2025.03.02 16:50:13,8,ON,ON,52.876,-2.218,0,3.785,3.785,3.785,3.785,3.785,3.785,3.785,3.785,3.785,3.785,3.785,3.785,3.785,3.785,19,19,19,19,OFF,OFF,0,0
372,2025.03.02 16:50:14,8,ON,ON,52.99,-1.812,0,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,19,19,19,19,OFF,OFF,0,0
373,2025.03.02 16:50:15,8,ON,ON,52.99,-1.812,0,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,3.787,19,19,19,19,OFF,OFF,0,0
374,2025.03.02 16:50:16,8,ON,ON,52.65,-5.598,0,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,19,19,19,19,OFF,OFF,0,0
375,2025.03.02 16:50:17,8,ON,ON,52.7,-4.357,0,3.762,3.762,3.762,3.762,3.762,3.762,3.762,3.762,3.762,3.762,3.762,3.762,3.762,3.762,19,19,19,19,OFF,OFF,0,0
376,2025.03.02 16:50:18,8,ON,ON,52.654,-4.094,0,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,19,19,19,19,OFF,OFF,0,0
377,2025.03.02 16:50:19,8,ON,ON,52.646,-3.935,0,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,19,19,19,19,OFF,OFF,0,0
378,2025.03.02 16:50:20,8,ON,ON,52.667,-3.262,0,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,19,19,19,19,OFF,OFF,0,0
379,2025.03.02 16:50:21,8,ON,ON,52.642,-3.57,0,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,19,19,19,19,OFF,OFF,0,0
380,2025.03.02 16:50:22,8,ON,ON,52.588,-4.04,0,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,19,19,19,19,OFF,OFF,0,0
381,2025.03.02 16:50:23,8,ON,ON,52.534,-4.589,0,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,3.764,19,19,19,19,OFF,OFF,0,0
382,2025.03.02 16:50:24,8,ON,ON,52.694,-3.703,0,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,19,19,19,19,OFF,OFF,0,0
383,2025.03.02 16:50:25,8,ON,ON,52.744,-2.812,0,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,19,19,19,19,OFF,OFF,0,0
384,2025.03.02 16:50:26,8,ON,ON,52.871,-2.7,0,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,19,19,19,19,OFF,OFF,0,0
385,2025.03.02 16:50:27,8,ON,ON,52.766,-2.938,0,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,3.776,19,19,19,19,OFF,OFF,0,0
386,2025.03.02 16:50:28,8,ON,ON,52.629,-3.513,0,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,19,19,19,19,OFF,OFF,0,0
387,2025.03.02 16:50:29,8,ON,ON,52.744,-3.265,0,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,19,19,19,19,OFF,OFF,0,0
388,2025.03.02 16:50:30,8,ON,ON,52.784,-2.799,0,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,19,19,19,19,OFF,OFF,0,0
389,2025.03.02 16:50:31,8,ON,ON,52.783,-2.916,0,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,19,19,19,19,OFF,OFF,0,0
390,2025.03.02 16:50:32,8,ON,ON,52.766,-2.247,0,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,19,19,19,19,OFF,OFF,0,0
391,2025.03.02 16:50:33,8,ON,ON,52.64,-4.157,0,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,19,19,19,19,OFF,OFF,0,0
392,2025.03.02 16:50:34,8,ON,ON,52.741,-2.808,0,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,3.772,19,19,19,19,OFF,OFF,0,0
393,2025.03.02 16:50:35,8,ON,ON,52.652,-3.237,0,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,19,19,19,19,OFF,OFF,0,0
394,2025.03.02 16:50:36,8,ON,ON,52.652,-3.237,0,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,19,19,19,19,OFF,OFF,0,0
395,2025.03.02 16:50:37,8,ON,ON,52.627,-3.462,0,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,19,19,19,19,OFF,OFF,0,0
396,2025.03.02 16:50:38,8,ON,ON,52.666,-3.389,0,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,19,19,19,19,OFF,OFF,0,0
397,2025.03.02 16:50:39,8,ON,ON,52.696,-2.621,0,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,19,19,19,19,OFF,OFF,0,0
398,2025.03.02 16:50:40,8,ON,ON,52.652,-3.63,0,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,19,19,19,19,OFF,OFF,0,0
