No,DateTime,Comment,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
1236,2025.03.02 17:05:41,2,ON,ON,52.605,0,0,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,19,19,19,19,OFF,OFF,0,0
1237,2025.03.02 17:05:42,2,ON,ON,52.609,0,0,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,19,19,19,19,OFF,OFF,0,0
1238,2025.03.02 17:05:43,2,ON,ON,52.611,0,0,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,3.763,19,19,19,19,OFF,OFF,0,0
1239,2025.03.02 17:05:44,2,ON,ON,52.369,-1.688,0,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,19,19,19,19,OFF,OFF,0,0
1240,2025.03.02 17:05:45,2,ON,ON,52.35,-1.897,0,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,3.745,19,19,19,19,OFF,OFF,0,0
1241,2025.03.02 17:05:46,2,ON,ON,52.255,-2.335,0,3.743,3.743,3.743,3.743,3.743,3.743,3.743,3.743,3.743,3.743,3.743,3.743,3.743,3.743,19,19,19,19,OFF,OFF,0,0
1242,2025.03.02 17:05:47,2,ON,ON,52.139,-2.958,0,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,19,19,19,19,OFF,OFF,0,0
1243,2025.03.02 17:05:48,2,ON,ON,52.12,-3.021,0,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,19,19,19,19,OFF,OFF,0,0
1244,2025.03.02 17:05:49,2,ON,ON,52.088,-3.472,0,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,19,19,19,19,OFF,OFF,0,0
1245,2025.03.02 17:05:50,2,ON,ON,52.002,-4.17,0,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,19,19,19,19,OFF,OFF,0,0
1246,2025.03.02 17:05:51,2,ON,ON,51.918,-4.763,0,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,19,19,19,19,OFF,OFF,0,0
1247,2025.03.02 17:05:52,2,ON,ON,51.859,-5.049,0,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,19,19,19,19,OFF,OFF,0,0
1248,2025.03.02 17:05:53,2,ON,ON,51.953,-4.103,0,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,19,19,19,19,OFF,OFF,0,0
1249,2025.03.02 17:05:54,2,ON,ON,51.913,-4.186,0,3.716,3.716,3.716,3.716,3.716,3.716,3.716,3.716,3.716,3.716,3.716,3.716,3.716,3.716,19,19,19,19,OFF,OFF,0,0
1250,2025.03.02 17:05:55,2,ON,ON,51.91,-4.329,0,3.714,3.714,3.714,3.714,3.714,3.714,3.714,3.714,3.714,3.714,3.714,3.714,3.714,3.714,19,19,19,19,OFF,OFF,0,0
1251,2025.03.02 17:05:56,2,ON,ON,51.9,-4.056,0,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,19,19,19,19,OFF,OFF,0,0
1252,2025.03.02 17:05:57,2,ON,ON,51.898,-4.186,0,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,19,19,19,19,OFF,OFF,0,0
1253,2025.03.02 17:05:58,2,ON,ON,51.858,-4.605,0,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,19,19,19,19,OFF,OFF,0,0
1254,2025.03.02 17:05:59,2,ON,ON,51.843,-4.503,0,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,19,19,19,19,OFF,OFF,0,0
1255,2025.03.02 17:06:00,2,ON,ON,51.882,-4.268,0,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,3.713,19,19,19,19,OFF,OFF,0,0
1256,2025.03.02 17:06:01,2,ON,ON,51.877,-4.027,0,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,19,19,19,19,OFF,OFF,0,0
