No,DateTime,Comment,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
675,2025.03.02 16:55:37,6,ON,ON,53.112,0,0,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,19,19,19,19,OFF,OFF,0,0
676,2025.03.02 16:55:38,6,ON,ON,53.113,0,0,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,19,19,19,19,OFF,OFF,0,0
677,2025.03.02 16:55:39,6,ON,ON,53.115,0,0,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,19,19,19,19,OFF,OFF,0,0
678,2025.03.02 16:55:40,6,ON,ON,53.117,0,0,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,3.799,19,19,19,19,OFF,OFF,0,0
679,2025.03.02 16:55:41,6,ON,ON,53.121,0,0,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,19,19,19,19,OFF,OFF,0,0
680,2025.03.02 16:55:42,6,ON,ON,53.077,0,0,3.796,3.796,3.796,3.796,3.796,3.796,3.796,3.796,3.796,3.796,3.796,3.796,3.796,3.796,19,19,19,19,OFF,OFF,0,0
681,2025.03.02 16:55:43,6,ON,ON,52.784,-2.37,0,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,19,19,19,19,OFF,OFF,0,0
682,2025.03.02 16:55:44,6,ON,ON,52.728,-2.529,0,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,19,19,19,19,OFF,OFF,0,0
683,2025.03.02 16:55:45,6,ON,ON,52.704,-2.491,0,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,19,19,19,19,OFF,OFF,0,0
684,2025.03.02 16:55:46,6,ON,ON,52.605,-3.126,0,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,19,19,19,19,OFF,OFF,0,0
