No,DateTime,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
1232,2025.02.28 10:44:56,ON,ON,54.128,0,0,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,17,17,17,17,OFF,OFF,0,0
1233,2025.02.28 10:45:00,ON,ON,54.134,0,0,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,3.871,17,17,17,17,OFF,OFF,0,0
1234,2025.02.28 10:45:01,ON,ON,54.133,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1235,2025.02.28 10:45:02,ON,ON,54.133,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1236,2025.02.28 10:45:04,ON,ON,54.137,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1237,2025.02.28 10:45:04,ON,ON,54.137,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1238,2025.02.28 10:45:05,ON,ON,54.137,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1239,2025.02.28 10:45:09,ON,ON,54.143,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1240,2025.02.28 10:45:09,ON,ON,54.144,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1241,2025.02.28 10:45:10,ON,ON,54.146,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1242,2025.02.28 10:45:11,ON,ON,54.146,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1243,2025.02.28 10:45:12,ON,ON,54.145,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1244,2025.02.28 10:45:13,ON,ON,54.147,0,0,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,17,17,17,17,OFF,OFF,0,0
1245,2025.02.28 10:45:14,ON,ON,54.147,0,0,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,17,17,17,17,OFF,OFF,0,0
1246,2025.02.28 10:45:15,ON,ON,54.147,0,0,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,17,17,17,17,OFF,OFF,0,0
1247,2025.02.28 10:45:16,ON,ON,54.148,0,0,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,17,17,17,17,OFF,OFF,0,0
1248,2025.02.28 10:45:20,ON,ON,54.155,0,0,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,17,17,17,17,OFF,OFF,0,0
1249,2025.02.28 10:45:24,ON,ON,54.157,0,0,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,3.873,17,17,17,17,OFF,OFF,0,0
1250,2025.02.28 10:45:27,ON,ON,54.939,4.64,0,3.925,3.925,3.925,3.925,3.925,3.925,3.925,3.925,3.925,3.925,3.925,3.925,3.925,3.925,17,17,17,17,OFF,OFF,0,0
1251,2025.02.28 10:45:27,ON,ON,54.955,4.64,0,3.926,3.926,3.926,3.926,3.926,3.926,3.926,3.926,3.926,3.926,3.926,3.926,3.926,3.926,17,17,17,17,OFF,OFF,0,0
1252,2025.02.28 10:45:33,ON,ON,55.07,4.64,0,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,17,17,17,17,OFF,OFF,0,0
1253,2025.02.28 10:45:33,ON,ON,55.076,4.64,0,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,3.935,17,17,17,17,OFF,OFF,0,0
1254,2025.02.28 10:45:36,ON,ON,55.118,4.636,0,3.938,3.938,3.938,3.938,3.938,3.938,3.938,3.938,3.938,3.938,3.938,3.938,3.938,3.938,17,17,17,17,OFF,OFF,0,0
1255,2025.02.28 10:45:37,ON,ON,55.135,4.64,0,3.939,3.939,3.939,3.939,3.939,3.939,3.939,3.939,3.939,3.939,3.939,3.939,3.939,3.939,17,17,17,17,OFF,OFF,0,0
1256,2025.02.28 10:45:39,ON,ON,55.149,4.64,0,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,17,17,17,17,OFF,OFF,0,0
1257,2025.02.28 10:45:39,ON,ON,55.154,4.636,0,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,17,17,17,17,OFF,OFF,0,0
1258,2025.02.28 10:45:40,ON,ON,55.169,4.652,0,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,17,17,17,17,OFF,OFF,0,0
1259,2025.02.28 10:45:41,ON,ON,55.18,4.649,0,3.942,3.942,3.942,3.942,3.942,3.942,3.942,3.942,3.942,3.942,3.942,3.942,3.942,3.942,17,17,17,17,OFF,OFF,0,0
1260,2025.02.28 10:45:43,ON,ON,55.193,4.649,0,3.943,3.943,3.943,3.943,3.943,3.943,3.943,3.943,3.943,3.943,3.943,3.943,3.943,3.943,17,17,17,17,OFF,OFF,0,0
1261,2025.02.28 10:45:44,ON,ON,55.203,4.643,0,3.944,3.944,3.944,3.944,3.944,3.944,3.944,3.944,3.944,3.944,3.944,3.944,3.944,3.944,17,17,17,17,OFF,OFF,0,0
1262,2025.02.28 10:45:45,ON,ON,55.214,4.636,0,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,17,17,17,17,OFF,OFF,0,0
1263,2025.02.28 10:45:46,ON,ON,55.219,4.649,0,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,17,17,17,17,OFF,OFF,0,0
1264,2025.02.28 10:45:48,ON,ON,55.245,4.649,0,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,17,17,17,17,OFF,OFF,0,0
1265,2025.02.28 10:45:49,ON,ON,55.253,4.64,0,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,3.947,17,17,17,17,OFF,OFF,0,0
1266,2025.02.28 10:45:50,ON,ON,55.262,4.649,0,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,3.948,17,17,17,17,OFF,OFF,0,0
1267,2025.02.28 10:45:52,ON,ON,55.276,4.649,0,3.949,3.949,3.949,3.949,3.949,3.949,3.949,3.949,3.949,3.949,3.949,3.949,3.949,3.949,17,17,17,17,OFF,OFF,0,0
1268,2025.02.28 10:45:54,ON,ON,55.286,4.636,0,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,17,17,17,17,OFF,OFF,0,0
1269,2025.02.28 10:45:56,ON,ON,55.306,4.64,0,3.951,3.951,3.951,3.951,3.951,3.951,3.951,3.951,3.951,3.951,3.951,3.951,3.951,3.951,17,17,17,17,OFF,OFF,0,0
1270,2025.02.28 10:45:57,ON,ON,55.312,4.636,0,3.952,3.952,3.952,3.952,3.952,3.952,3.952,3.952,3.952,3.952,3.952,3.952,3.952,3.952,17,17,17,17,OFF,OFF,0,0
1271,2025.02.28 10:45:59,ON,ON,55.328,4.636,0,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,17,17,17,17,OFF,OFF,0,0
1272,2025.02.28 10:46:00,ON,ON,55.334,4.64,0,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,17,17,17,17,OFF,OFF,0,0
1273,2025.02.28 10:46:01,ON,ON,55.336,4.636,0,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,3.953,17,17,17,17,OFF,OFF,0,0
1274,2025.02.28 10:46:02,ON,ON,55.344,4.636,0,3.954,3.954,3.954,3.954,3.954,3.954,3.954,3.954,3.954,3.954,3.954,3.954,3.954,3.954,17,17,17,17,OFF,OFF,0,0
1275,2025.02.28 10:46:05,ON,ON,55.363,4.64,0,3.955,3.955,3.955,3.955,3.955,3.955,3.955,3.955,3.955,3.955,3.955,3.955,3.955,3.955,17,17,17,17,OFF,OFF,0,0
1276,2025.02.28 10:46:08,ON,ON,55.384,4.649,0,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,17,17,17,17,OFF,OFF,0,0
1277,2025.02.28 10:46:09,ON,ON,55.39,4.64,0,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,17,17,17,17,OFF,OFF,0,0
1278,2025.02.28 10:46:11,ON,ON,55.398,4.646,0,3.958,3.958,3.958,3.958,3.958,3.958,3.958,3.958,3.958,3.958,3.958,3.958,3.958,3.958,17,17,17,17,OFF,OFF,0,0
1279,2025.02.28 10:46:13,ON,ON,55.411,4.636,0,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,17,17,17,17,OFF,OFF,0,0
1280,2025.02.28 10:46:14,ON,ON,55.419,4.64,0,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,3.959,17,17,17,17,OFF,OFF,0,0
1281,2025.02.28 10:46:16,ON,ON,55.427,4.64,0,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,17,17,17,17,OFF,OFF,0,0
1282,2025.02.28 10:46:18,ON,ON,55.438,4.636,0,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,17,17,17,17,OFF,OFF,0,0
1283,2025.02.28 10:46:19,ON,ON,55.441,4.649,0,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,3.961,17,17,17,17,OFF,OFF,0,0
1284,2025.02.28 10:46:27,ON,ON,55.482,4.64,0,3.964,3.964,3.964,3.964,3.964,3.964,3.964,3.964,3.964,3.964,3.964,3.964,3.964,3.964,17,17,17,17,OFF,OFF,0,0
1285,2025.02.28 10:46:56,ON,ON,55.591,4.652,0,3.971,3.971,3.971,3.971,3.971,3.971,3.971,3.971,3.971,3.971,3.971,3.971,3.971,3.971,17,17,17,17,OFF,OFF,0,0
1286,2025.02.28 10:46:59,ON,ON,55.603,4.643,0,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,17,17,17,17,OFF,OFF,0,0
1287,2025.02.28 10:46:59,ON,ON,55.603,4.643,0,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,3.972,17,17,17,17,OFF,OFF,0,0
1288,2025.02.28 10:49:57,ON,ON,55.83,3.992,0,3.989,3.989,3.989,3.989,3.989,3.989,3.989,3.989,3.989,3.989,3.989,3.989,3.989,3.989,17,17,17,17,OFF,OFF,0,0
1289,2025.02.28 10:57:29,ON,ON,55.951,2.418,0,3.999,3.999,3.999,3.999,3.999,3.999,3.999,3.999,3.999,3.999,3.999,3.999,3.999,3.999,18,18,18,18,OFF,OFF,0,0
1290,2025.02.28 11:01:22,ON,ON,55.993,1.866,0,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,18,18,18,18,OFF,OFF,0,0
1291,2025.02.28 11:01:22,ON,ON,55.993,1.866,0,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,4.002,18,18,18,18,OFF,OFF,0,0
